LATITUDE,LONGITUDE,OC,NDVI_v1,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12
12.868275,75.239625,0.51,0.108785552,730,1022,1456,2533,2725.5,2899.5,3021.5,3142,3067.5,3153,4701.5,3389
12.85378,74.97266,0.79,0.138858988,1214.5,1320,1963,2400,2727.5,3010,3301.5,3174,3407,3267,4501.5,3532.5
12.853512,74.9748,1.41,0.150655414,1202.5,1468,2082,2478,2888,3149,3402.5,3281,3539.5,3434,4924,3886.5
12.890035,75.230001,0.58,0.09361978,740,1488,2016,2447,2407,2808.5,3002,2952.5,2965.5,3063.5,3289.5,2595
12.853595,74.97297,0.46,0.147096074,1174,1447,2029,2357,2713.5,3053,3237,3170,3365,3265,4624,3614.5
12.853359,74.97549,0.91,0.153511065,1110,1447,2015,2429,2868.5,3161,3404.5,3310,3541,3363.5,4668.5,3615
12.8537,74.9731,0.85,0.144383057,1174,1461,2020,2323,2713.5,3053,3237,3107,3365,3265,4624,3614.5
13.01277778,74.81444444,0.83,0.128875111,630.5,910,1247,1876,2013,2341.5,2541,2506,2717.5,2551.5,3696,2738.5
13.01277778,74.81444444,0.85,0.128875111,630.5,910,1247,1876,2013,2341.5,2541,2506,2717.5,2551.5,3696,2738.5
12.8532,74.97522,0.79,0.154397622,1170,1396,1948,2361,2798.5,3073.5,3316.5,3253,3473,3355.5,4797.5,3716.5
12.853202,74.974137,0.52,0.14350638,1216.5,1428,1932,2324,2766.5,3053.5,3349.5,3270,3459.5,3337,4750.5,3665
12.85325,74.97406,0.79,0.162377995,1216.5,1444,1939,2360,2766.5,3053.5,3349.5,3275,3459.5,3337,4750.5,3665
12.8533,74.97565,1.35,0.16867056,1110,1415,1967,2348,2633,3167,3457.5,3336,3634,3363.5,4175.5,3123.5
12.853302,74.97564,0.97,0.16867056,1110,1415,1967,2348,2633,3167,3457.5,3336,3634,3363.5,4175.5,3123.5
12.87765,75.23695,0.52,0.20075534,695,791,1159,1783,2291.5,2598,2812,2484.5,2809,2793,3705,2508
13.01277778,74.82416667,0.86,0.129039254,705.5,984,1380,2008,2400.5,2628.5,2810,2603,2849.5,2904.5,4403,3288.5
13.01861111,74.82083333,0.98,0.163667895,685.5,970,1434,1929,2181.5,2489,2687,2684,2844,2868.5,3395.5,2525.5
12.85307,74.97601,0.63,0.169278997,1010,1250,1765,2145,2387,2889.5,3226.5,3097,3421,3330.5,3787.5,2659
13.01833333,74.81583333,1.31,0.170229008,656.5,1273,1694,2174,2366.5,2645,2948,3066,3223.5,2986,4269,3214.5
13.01833333,74.81583333,1.34,0.170229008,656.5,1273,1694,2174,2366.5,2645,2948,3066,3223.5,2986,4269,3214.5
13.01833333,74.81583333,0.39,0.170229008,656.5,1273,1694,2174,2366.5,2645,2948,3066,3223.5,2986,4269,3214.5
13.01833333,74.81583333,1.23,0.170229008,656.5,1273,1694,2174,2366.5,2645,2948,3066,3223.5,2986,4269,3214.5
13.01833333,74.81583333,0.96,0.170229008,656.5,1273,1694,2174,2366.5,2645,2948,3066,3223.5,2986,4269,3214.5
12.85321,74.97324,1.22,0.180315409,1187.5,1368,1863,2221,2718.5,3063.5,3333,3198,3415,3409,4479,3303.5
13.01861111,74.81444444,1.5,0.183425204,695,1290,1691,2148,2160.5,2416,2693.5,3113,3100,3149.5,4226.5,3195
13.01861111,74.81444444,1.41,0.183425204,695,1290,1691,2148,2160.5,2416,2693.5,3113,3100,3149.5,4226.5,3195
13.01861111,74.81444444,1.4,0.183425204,695,1290,1691,2148,2160.5,2416,2693.5,3113,3100,3149.5,4226.5,3195
13.01861111,74.81444444,1.14,0.183425204,695,1290,1691,2148,2160.5,2416,2693.5,3113,3100,3149.5,4226.5,3195
13.01861111,74.81444444,0.86,0.183425204,695,1290,1691,2148,2160.5,2416,2693.5,3113,3100,3149.5,4226.5,3195
13.01861111,74.81444444,1.57,0.183425204,695,1290,1691,2148,2160.5,2416,2693.5,3113,3100,3149.5,4226.5,3195
12.89705,75.22386,0.64,0.134917156,639.5,1026,1476,2259,2201.5,2810,3102,3332,3139,2895.5,3570.5,2494
12.89705,75.223861,0.35,0.134917156,639.5,1026,1476,2259,2201.5,2810,3102,3332,3139,2895.5,3570.5,2494
12.89581,75.225023,0.34,0.197429785,710,941.5,1407,1886,2226,2582,2775.5,2789.5,2966.5,3041,3704,2596.5
12.85404,74.97451,1.11,0.180769231,1130.5,1554,1989,2385,2800.5,3121.5,3517,3428,3773.5,3207,4919,3814.5
12.859815,75.235672,1.02,0.175918019,739.5,929,1339,1940,2271,2568,2816.5,2774,2902,2934,3966.5,2910.5
12.8527,74.97205,1,0.193529752,899,1207,1767,2237,2501,2885,3135.5,3035,3312.5,3219.5,4378.5,3393
12.85397,74.97201,1.04,0.206480933,947,1177,1562,2052,2386.5,2798.5,3046,3036,3194.5,3245,4306.5,3241.5
12.892562,75.22958,0.31,0.163116928,773,1063,1544,2367,2573,3079.5,3466.5,3477.5,3457.5,3426,3766,2500.5
13.01861111,74.81388889,1.48,0.192589734,695,1299,1612,2092,2356,2645,2928.5,3090,3347,3149.5,4196.5,3065
13.01861111,74.81388889,1.45,0.192589734,695,1299,1612,2092,2356,2645,2928.5,3090,3347,3149.5,4196.5,3065
13.01861111,74.81388889,0.76,0.192589734,695,1299,1612,2092,2356,2645,2928.5,3090,3347,3149.5,4196.5,3065
12.8539,74.97442,1.44,0.210188875,1202.5,1393,1828,2280,2525,2990,3326,3486,3608.5,3434,4487,3268
12.8477,74.98367,1.05,0.214308029,785.5,1381,2182,3190,3267,3635.5,3739,4342,3909.5,3302.5,4665.5,2898
12.8477,74.98367,1.12,0.214308029,785.5,1381,2182,3190,3267,3635.5,3739,4342,3909.5,3302.5,4665.5,2898
13.01916667,74.81861111,1.14,0.18768158,634,1130,1714,2472,2640,2963.5,3181.5,3260,3341.5,3131,4474.5,3155.5
13.01916667,74.81861111,1.21,0.18768158,634,1130,1714,2472,2640,2963.5,3181.5,3260,3341.5,3131,4474.5,3155.5
13.01916667,74.81861111,1.39,0.18768158,634,1130,1714,2472,2640,2963.5,3181.5,3260,3341.5,3131,4474.5,3155.5
