LATITUDE,LONGITUDE,OC,NDVI_v1,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12,_count,_sum,_mean,_median,_stdev,_min,_max,_range,_minority,_majority,_variety,_variance
12.868275,75.239625,0.51,0.108785552,730,1022,1456,2533,2725.5,2899.5,3021.5,3142,3067.5,3153,4701.5,3389,4,0.443580486,0.110895121,0.108195595,0.005214635,0.107312776,0.119876519,0.012563743,0.107312776,0.107312776,4,2.72E-05
12.85378,74.97266,0.79,0.138858988,1214.5,1320,1963,2400,2727.5,3010,3301.5,3174,3407,3267,4501.5,3532.5,3,0.402348608,0.134116203,0.138858989,0.006707313,0.12463063,0.138858989,0.014228359,0.12463063,0.138858989,2,4.50E-05
12.853512,74.9748,1.41,0.150655414,1202.5,1468,2082,2478,2888,3149,3402.5,3281,3539.5,3434,4924,3886.5,3,0.439335316,0.146445105,0.149245963,0.004990927,0.139433935,0.150655419,0.011221483,0.139433935,0.139433935,3,2.49E-05
12.890035,75.230001,0.58,0.09361978,740,1488,2016,2447,2407,2808.5,3002,2952.5,2965.5,3063.5,3289.5,2595,3,0.367171042,0.122390347,0.116946913,0.025999837,0.093619779,0.15660435,0.062984571,0.093619779,0.093619779,3,0.000675992
12.853595,74.97297,0.46,0.147096074,1174,1447,2029,2357,2713.5,3053,3237,3170,3365,3265,4624,3614.5,3,0.456663266,0.152221089,0.150324434,0.005137025,0.147096068,0.159242764,0.012146696,0.147096068,0.147096068,3,2.64E-05
12.853359,74.97549,0.91,0.153511065,1110,1447,2015,2429,2868.5,3161,3404.5,3310,3541,3363.5,4668.5,3615,4,0.608682945,0.152170736,0.15038953,0.0059206,0.146602273,0.161301613,0.01469934,0.146602273,0.146602273,4,3.51E-05
12.8537,74.9731,0.85,0.144383057,1174,1461,2020,2323,2713.5,3053,3237,3107,3365,3265,4624,3614.5,3,0.456722647,0.152240882,0.14617759,0.009870941,0.144383058,0.166161999,0.021778941,0.144383058,0.144383058,3,9.74E-05
13.01277778,74.81444444,0.83,0.128875111,630.5,910,1247,1876,2013,2341.5,2541,2506,2717.5,2551.5,3696,2738.5,3,0.440566048,0.146855349,0.143769965,0.016089017,0.128875107,0.167920977,0.03904587,0.128875107,0.128875107,3,0.000258856
13.01277778,74.81444444,0.85,0.128875111,630.5,910,1247,1876,2013,2341.5,2541,2506,2717.5,2551.5,3696,2738.5,3,0.440566048,0.146855349,0.143769965,0.016089017,0.128875107,0.167920977,0.03904587,0.128875107,0.128875107,3,0.000258856
12.8532,74.97522,0.79,0.154397622,1170,1396,1948,2361,2798.5,3073.5,3316.5,3253,3473,3355.5,4797.5,3716.5,3,0.471501291,0.157167097,0.158888489,0.009795968,0.144401819,0.168210983,0.023809165,0.144401819,0.144401819,3,9.60E-05
12.853202,74.974137,0.52,0.14350638,1216.5,1428,1932,2324,2766.5,3053.5,3349.5,3270,3459.5,3337,4750.5,3665,3,0.474994138,0.158331379,0.162377998,0.010837117,0.143506378,0.169109762,0.025603384,0.143506378,0.143506378,3,0.000117443
